area,area_name,premis_code,premis_desc
3,Southwest,501,SINGLE FAMILY DWELLING
1,Central,102,SIDEWALK
1,Central,726,POLICE FACILITY
15,N Hollywood,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
19,Mission,409,BEAUTY SUPPLY STORE
1,Central,735,NIGHT CLUB (OPEN EVENINGS ONLY)
1,Central,404,DEPARTMENT STORE
1,Central,726,POLICE FACILITY
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
17,Devonshire,203,OTHER BUSINESS
1,Central,101,STREET
1,Central,108,PARKING LOT
1,Central,503,HOTEL
1,Central,404,DEPARTMENT STORE
1,Central,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET''S, ETC.)"
19,Mission,501,SINGLE FAMILY DWELLING
11,Northeast,501,SINGLE FAMILY DWELLING
5,Harbor,102,SIDEWALK
9,Van Nuys,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,103,ALLEY
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
10,West Valley,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
11,Northeast,108,PARKING LOT
1,Central,148,PUBLIC RESTROOM/OUTSIDE*
8,West LA,501,SINGLE FAMILY DWELLING
1,Central,503,HOTEL
1,Central,503,HOTEL
8,West LA,501,SINGLE FAMILY DWELLING
11,Northeast,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,707,GARAGE/CARPORT
1,Central,801,MTA BUS
1,Central,401,MINI-MART
1,Central,203,OTHER BUSINESS
1,Central,404,DEPARTMENT STORE
14,Pacific,101,STREET
1,Central,122,"VEHICLE, PASSENGER/TRUCK"
2,Rampart,108,PARKING LOT
12,77th Street,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,900,MTA - RED LINE - UNION STATION
1,Central,102,SIDEWALK
1,Central,203,OTHER BUSINESS
1,Central,210,RESTAURANT/FAST FOOD
1,Central,122,"VEHICLE, PASSENGER/TRUCK"
3,Southwest,501,SINGLE FAMILY DWELLING
1,Central,902,MTA - RED LINE - PERSHING SQUARE
1,Central,902,MTA - RED LINE - PERSHING SQUARE
1,Central,735,NIGHT CLUB (OPEN EVENINGS ONLY)
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
8,West LA,501,SINGLE FAMILY DWELLING
1,Central,101,STREET
1,Central,102,SIDEWALK
1,Central,101,STREET
1,Central,108,PARKING LOT
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,122,"VEHICLE, PASSENGER/TRUCK"
1,Central,210,RESTAURANT/FAST FOOD
1,Central,108,PARKING LOT
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,101,STREET
1,Central,403,DRUG STORE
1,Central,101,STREET
1,Central,404,DEPARTMENT STORE
1,Central,707,GARAGE/CARPORT
9,Van Nuys,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,203,OTHER BUSINESS
1,Central,516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS
1,Central,406,OTHER STORE
1,Central,123,PARKING UNDERGROUND/BUILDING
1,Central,101,STREET
1,Central,101,STREET
1,Central,108,PARKING LOT
1,Central,101,STREET
1,Central,101,STREET
18,Southeast,505,MOTEL
1,Central,203,OTHER BUSINESS
1,Central,210,RESTAURANT/FAST FOOD
1,Central,701,HOSPITAL
1,Central,203,OTHER BUSINESS
1,Central,102,SIDEWALK
5,Harbor,104,DRIVEWAY
6,Hollywood,108,PARKING LOT
1,Central,404,DEPARTMENT STORE
14,Pacific,501,SINGLE FAMILY DWELLING
1,Central,102,SIDEWALK
13,Newton,501,SINGLE FAMILY DWELLING
1,Central,101,STREET
1,Central,101,STREET
1,Central,101,STREET
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,102,SIDEWALK
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,122,"VEHICLE, PASSENGER/TRUCK"
1,Central,406,OTHER STORE
1,Central,406,OTHER STORE
1,Central,101,STREET
1,Central,101,STREET
1,Central,101,STREET
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,210,RESTAURANT/FAST FOOD
1,Central,101,STREET
1,Central,101,STREET
1,Central,101,STREET
1,Central,108,PARKING LOT
4,Hollenbeck,501,SINGLE FAMILY DWELLING
7,Wilshire,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
7,Wilshire,101,STREET
1,Central,102,SIDEWALK
8,West LA,501,SINGLE FAMILY DWELLING
3,Southwest,101,STREET
3,Southwest,101,STREET
5,Harbor,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,101,STREET
1,Central,102,SIDEWALK
1,Central,108,PARKING LOT
8,West LA,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
18,Southeast,501,SINGLE FAMILY DWELLING
1,Central,402,MARKET
1,Central,834,LA UNION STATION (NOT LINE SPECIFIC)
1,Central,101,STREET
1,Central,404,DEPARTMENT STORE
1,Central,517,MISSIONS/SHELTERS
4,Hollenbeck,102,SIDEWALK
1,Central,404,DEPARTMENT STORE
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,203,OTHER BUSINESS
1,Central,707,GARAGE/CARPORT
1,Central,834,LA UNION STATION (NOT LINE SPECIFIC)
1,Central,735,NIGHT CLUB (OPEN EVENINGS ONLY)
1,Central,102,SIDEWALK
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,123,PARKING UNDERGROUND/BUILDING
1,Central,122,"VEHICLE, PASSENGER/TRUCK"
8,West LA,101,STREET
1,Central,207,BAR/COCKTAIL/NIGHTCLUB
1,Central,108,PARKING LOT
1,Central,102,SIDEWALK
8,West LA,501,SINGLE FAMILY DWELLING
1,Central,102,SIDEWALK
16,Foothill,151,TOW YARD*
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,753,DETENTION/JAIL FACILITY
1,Central,101,STREET
1,Central,101,STREET
8,West LA,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,101,STREET
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,101,STREET
1,Central,834,LA UNION STATION (NOT LINE SPECIFIC)
1,Central,102,SIDEWALK
1,Central,102,SIDEWALK
1,Central,834,LA UNION STATION (NOT LINE SPECIFIC)
1,Central,710,OTHER PREMISE
1,Central,834,LA UNION STATION (NOT LINE SPECIFIC)
4,Hollenbeck,501,SINGLE FAMILY DWELLING
1,Central,101,STREET
1,Central,102,SIDEWALK
1,Central,122,"VEHICLE, PASSENGER/TRUCK"
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,108,PARKING LOT
1,Central,101,STREET
3,Southwest,248,CELL PHONE STORE
1,Central,102,SIDEWALK
8,West LA,501,SINGLE FAMILY DWELLING
1,Central,101,STREET
1,Central,123,PARKING UNDERGROUND/BUILDING
1,Central,101,STREET
1,Central,834,LA UNION STATION (NOT LINE SPECIFIC)
1,Central,108,PARKING LOT
1,Central,405,CLOTHING STORE
1,Central,101,STREET
1,Central,101,STREET
1,Central,602,BANK
1,Central,801,MTA BUS
1,Central,102,SIDEWALK
9,Van Nuys,501,SINGLE FAMILY DWELLING
10,West Valley,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
7,Wilshire,203,OTHER BUSINESS
1,Central,108,PARKING LOT
1,Central,931,MTA - BLUE LINE - 7TH AND METRO CENTER
1,Central,203,OTHER BUSINESS
1,Central,101,STREET
11,Northeast,101,STREET
1,Central,108,PARKING LOT
1,Central,403,DRUG STORE
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,404,DEPARTMENT STORE
1,Central,122,"VEHICLE, PASSENGER/TRUCK"
12,77th Street,101,STREET
1,Central,101,STREET
6,Hollywood,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,203,OTHER BUSINESS
1,Central,102,SIDEWALK
1,Central,108,PARKING LOT
1,Central,402,MARKET
18,Southeast,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,101,STREET
1,Central,108,PARKING LOT
1,Central,101,STREET
1,Central,108,PARKING LOT
1,Central,102,SIDEWALK
1,Central,101,STREET
1,Central,102,SIDEWALK
1,Central,108,PARKING LOT
1,Central,101,STREET
1,Central,116,OTHER/OUTSIDE
1,Central,741,STAPLES CENTER *
8,West LA,501,SINGLE FAMILY DWELLING
1,Central,123,PARKING UNDERGROUND/BUILDING
1,Central,101,STREET
1,Central,710,OTHER PREMISE
4,Hollenbeck,501,SINGLE FAMILY DWELLING
1,Central,404,DEPARTMENT STORE
1,Central,101,STREET
1,Central,108,PARKING LOT
1,Central,102,SIDEWALK
1,Central,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET''S, ETC.)"
1,Central,101,STREET
5,Harbor,707,GARAGE/CARPORT
1,Central,102,SIDEWALK
1,Central,101,STREET
1,Central,203,OTHER BUSINESS
1,Central,123,PARKING UNDERGROUND/BUILDING
1,Central,741,STAPLES CENTER *
1,Central,404,DEPARTMENT STORE
10,West Valley,203,OTHER BUSINESS
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,101,STREET
1,Central,123,PARKING UNDERGROUND/BUILDING
1,Central,102,SIDEWALK
1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
1,Central,517,MISSIONS/SHELTERS
1,Central,102,SIDEWALK
1,Central,122,"VEHICLE, PASSENGER/TRUCK"
7,Wilshire,501,SINGLE FAMILY DWELLING
1,Central,118,CONSTRUCTION SITE
1,Central,210,RESTAURANT/FAST FOOD
1,Central,101,STREET
1,Central,517,MISSIONS/SHELTERS
1,Central,118,CONSTRUCTION SITE
16,Foothill,501,SINGLE FAMILY DWELLING
1,Central,102,SIDEWALK
1,Central,101,STREET
1,Central,101,STREET
