dr_no,date_reported,date_committed,time_committed,status,area,reporting_district,crime_code,weapon_code
10304468,1/8/2020 0:00,1/8/2020 0:00,2230,AO,3,377,624,400
190101086,1/2/2020 0:00,1/1/2020 0:00,330,IC,1,163,624,500
200110444,4/14/2020 0:00,2/13/2020 0:00,1200,AA,1,155,845,
191501505,1/1/2020 0:00,1/1/2020 0:00,1730,IC,15,1543,745,
191921269,1/1/2020 0:00,1/1/2020 0:00,415,IC,19,1998,740,
200100501,1/2/2020 0:00,1/1/2020 0:00,30,IC,1,163,121,500
200100502,1/2/2020 0:00,1/2/2020 0:00,1315,IC,1,161,442,
200100504,1/4/2020 0:00,1/4/2020 0:00,40,IC,1,155,946,
200100507,1/4/2020 0:00,1/4/2020 0:00,200,IC,1,101,341,
201710201,6/19/2020 0:00,5/26/2020 0:00,1925,AO,17,1708,341,
200100509,1/4/2020 0:00,1/4/2020 0:00,2200,IC,1,192,330,306
200100510,1/5/2020 0:00,1/5/2020 0:00,955,IC,1,111,930,511
200100514,1/5/2020 0:00,1/5/2020 0:00,1355,AA,1,162,341,
200100515,1/7/2020 0:00,1/7/2020 0:00,1638,IC,1,162,648,500
200100520,1/8/2020 0:00,1/8/2020 0:00,1805,IC,1,128,442,
211916029,11/26/2021 0:00,11/30/2020 0:00,730,IC,19,1916,626,400
201116159,11/29/2020 0:00,11/28/2020 0:00,2018,AO,11,1124,626,400
200506268,2/22/2020 0:00,2/22/2020 0:00,1900,IC,5,511,440,400
210916801,11/22/2021 0:00,11/19/2020 0:00,1200,IC,9,932,354,
200100535,1/14/2020 0:00,1/14/2020 0:00,1330,IC,1,152,210,204
200100546,1/15/2020 0:00,1/15/2020 0:00,700,AO,1,166,230,500
211015072,11/29/2021 0:00,11/1/2020 0:00,1200,IC,10,1043,354,
201106067,2/15/2020 0:00,2/15/2020 0:00,1830,IC,11,1101,330,
200100552,1/19/2020 0:00,1/19/2020 0:00,2000,AA,1,111,230,500
200815333,10/15/2020 0:00,10/15/2020 0:00,2000,AO,8,814,624,400
200100556,1/20/2020 0:00,1/20/2020 0:00,400,IC,1,141,121,400
200100559,1/23/2020 0:00,1/23/2020 0:00,600,AO,1,111,310,
210816993,11/24/2021 0:00,4/28/2020 0:00,100,IC,8,859,354,
201111990,7/29/2020 0:00,7/29/2020 0:00,2020,AO,11,1124,626,400
200117988,9/15/2020 0:00,9/3/2020 0:00,2000,IC,1,111,510,
200100568,1/27/2020 0:00,1/27/2020 0:00,1500,IC,1,166,930,500
200100578,1/31/2020 0:00,1/30/2020 0:00,2040,AA,1,163,230,302
200100583,2/4/2020 0:00,2/4/2020 0:00,920,AA,1,146,230,212
200100584,2/4/2020 0:00,2/4/2020 0:00,1645,IC,1,162,442,
221412410,6/15/2022 0:00,11/12/2020 0:00,1700,IC,14,1444,420,
200100587,2/6/2020 0:00,2/6/2020 0:00,1135,IC,1,163,740,
200218458,12/11/2020 0:00,12/11/2020 0:00,420,AO,2,233,761,109
201225288,11/26/2020 0:00,11/26/2020 0:00,115,AA,12,1257,236,304
200104036,1/1/2020 0:00,1/1/2020 0:00,500,IC,1,119,860,400
200104038,1/1/2020 0:00,1/1/2020 0:00,1200,IC,1,157,230,500
200104039,1/1/2020 0:00,1/1/2020 0:00,344,IC,1,162,745,
200104041,1/1/2020 0:00,1/1/2020 0:00,1030,IC,1,192,480,
200104043,1/1/2020 0:00,1/1/2020 0:00,1200,IC,1,112,745,
200321450,12/9/2020 0:00,12/9/2020 0:00,300,AO,3,333,236,400
200104047,1/1/2020 0:00,1/1/2020 0:00,905,IC,1,153,623,400
200104048,1/1/2020 0:00,1/1/2020 0:00,905,IC,1,153,623,400
200104051,1/1/2020 0:00,1/1/2020 0:00,200,IC,1,161,440,
200104054,1/2/2020 0:00,1/1/2020 0:00,2330,IC,1,135,624,400
200812213,7/23/2020 0:00,6/22/2020 0:00,2005,AO,8,898,956,
200104057,1/2/2020 0:00,1/1/2020 0:00,2045,IC,1,176,230,218
200104058,1/2/2020 0:00,1/1/2020 0:00,1940,IC,1,135,624,400
200104060,1/2/2020 0:00,1/1/2020 0:00,1800,IC,1,153,624,400
200104063,1/1/2020 0:00,1/1/2020 0:00,2030,IC,1,162,341,
200104065,1/1/2020 0:00,1/1/2020 0:00,1830,IC,1,118,745,
200104066,1/1/2020 0:00,1/1/2020 0:00,2315,IC,1,182,745,
200104069,1/2/2020 0:00,1/2/2020 0:00,545,IC,1,111,310,500
200104073,1/2/2020 0:00,1/2/2020 0:00,345,IC,1,143,510,
200104075,1/2/2020 0:00,1/1/2020 0:00,2000,IC,1,166,440,
200104076,1/1/2020 0:00,1/1/2020 0:00,300,IC,1,153,341,
200104077,1/2/2020 0:00,1/1/2020 0:00,2030,IC,1,195,330,
200104078,1/2/2020 0:00,1/2/2020 0:00,820,IC,1,162,210,218
200104082,1/2/2020 0:00,1/2/2020 0:00,1225,IC,1,153,624,400
200104090,1/2/2020 0:00,1/2/2020 0:00,1305,IC,1,162,442,
200104092,1/2/2020 0:00,1/1/2020 0:00,1200,IC,1,111,310,
200918185,12/7/2020 0:00,12/7/2020 0:00,1203,AA,9,935,900,
200104098,1/2/2020 0:00,1/2/2020 0:00,1240,AO,1,154,210,102
200104101,1/2/2020 0:00,1/2/2020 0:00,800,IC,1,131,626,400
200104118,1/2/2020 0:00,1/2/2020 0:00,1600,IC,1,159,624,400
200104120,1/2/2020 0:00,1/2/2020 0:00,1450,IC,1,158,310,
200104126,1/2/2020 0:00,1/2/2020 0:00,1215,IC,1,162,442,
200104127,1/2/2020 0:00,1/2/2020 0:00,1130,IC,1,138,888,
200104129,1/2/2020 0:00,1/2/2020 0:00,320,IC,1,124,230,515
210121427,10/26/2021 0:00,10/18/2020 0:00,528,IC,1,121,860,400
200104132,1/2/2020 0:00,1/2/2020 0:00,1915,IC,1,182,330,
200104135,1/2/2020 0:00,1/2/2020 0:00,2000,IC,1,142,440,
200104136,1/2/2020 0:00,1/2/2020 0:00,2000,AA,1,158,230,307
201815332,8/10/2020 0:00,8/10/2020 0:00,125,AO,18,1822,626,400
200104138,1/2/2020 0:00,1/2/2020 0:00,1740,IC,1,111,230,216
200104139,1/2/2020 0:00,1/2/2020 0:00,2210,IC,1,162,888,
200104140,1/2/2020 0:00,1/2/2020 0:00,2145,AA,1,192,626,400
200104141,1/2/2020 0:00,1/2/2020 0:00,2120,IC,1,162,624,400
200104150,1/3/2020 0:00,1/2/2020 0:00,2200,IC,1,158,624,308
200516527,11/12/2020 0:00,11/12/2020 0:00,430,IC,5,508,510,
200609101,4/15/2020 0:00,4/12/2020 0:00,1300,AO,6,648,510,
200104187,1/3/2020 0:00,1/1/2020 0:00,1845,IC,1,162,442,
211422362,12/2/2021 0:00,12/2/2020 0:00,1040,IC,14,1416,354,
200104192,1/3/2020 0:00,1/3/2020 0:00,930,IC,1,124,745,
211304982,1/23/2021 0:00,7/24/2020 0:00,100,AO,13,1381,121,400
200104201,1/3/2020 0:00,1/1/2020 0:00,130,IC,1,132,330,
200104204,1/3/2020 0:00,1/2/2020 0:00,1115,IC,1,154,440,
200104205,1/3/2020 0:00,1/3/2020 0:00,1315,IC,1,128,440,
200104208,1/3/2020 0:00,1/3/2020 0:00,1015,AO,1,192,745,
200104209,1/3/2020 0:00,1/3/2020 0:00,1830,IC,1,152,624,400
200104221,1/3/2020 0:00,1/3/2020 0:00,1200,IC,1,166,761,215
200104222,1/3/2020 0:00,1/3/2020 0:00,1550,AA,1,135,740,
200104223,1/3/2020 0:00,1/3/2020 0:00,1839,IC,1,154,745,
200104224,1/3/2020 0:00,1/3/2020 0:00,1800,IC,1,162,442,
200104227,1/4/2020 0:00,1/3/2020 0:00,1800,IC,1,162,442,
200104228,1/4/2020 0:00,1/3/2020 0:00,1850,IC,1,159,210,102
200104230,1/4/2020 0:00,1/3/2020 0:00,2100,IC,1,162,420,
200104231,1/3/2020 0:00,1/3/2020 0:00,2220,IC,1,148,230,204
200104233,1/3/2020 0:00,1/3/2020 0:00,1645,IC,1,145,341,
200104234,1/4/2020 0:00,1/3/2020 0:00,2100,IC,1,135,440,
