dr_no,age,sex,vic_descent,lat,lon,loc,cross_street
10304468,36,F,B,34.0141,-118.2978,1100 W 39TH PL,
190101086,25,M,H,34.0459,-118.2545,700 S HILL ST,
200110444,0,X,X,34.0448,-118.2474,200 E 6TH ST,
191501505,76,F,W,34.1685,-118.4019,5400 CORTEEN PL,
191921269,31,X,X,34.2198,-118.4468,14400 TITUS ST,
200100501,25,F,H,34.0452,-118.2534,700 S BROADWAY,
200100502,23,M,H,34.0483,-118.2631,700 S FIGUEROA ST,
200100504,0,X,X,34.0448,-118.2474,200 E 6TH ST,
200100507,23,M,B,34.0677,-118.2398,700 BERNARD ST,
201710201,0,X,X,34.2864,-118.5021,11900 BALBOA BL,
200100509,29,M,A,34.0359,-118.2648,15TH,OLIVE
200100510,35,M,O,34.0615,-118.2412,800 N ALAMEDA ST,
200100514,41,M,A,34.0452,-118.2569,800 S OLIVE ST,
200100515,0,X,X,34.048,-118.2577,700 W 7TH ST,
200100520,24,F,H,34.0515,-118.2424,100 S LOS ANGELES ST,
211916029,24,F,H,34.3055,-118.4439,14200 BERG ST,
201116159,34,F,H,34.1186,-118.245,3200 W AVENUE 32,
200506268,29,F,W,33.7926,-118.3043,PACIFIC COAST,VERMONT
210916801,46,M,B,34.1857,-118.4574,14700 FRIAR ST,
200100535,66,M,B,34.0463,-118.255,7TH,HILL
200100546,62,M,A,34.0428,-118.2461,600 SAN JULIAN ST,
211015072,34,F,B,34.1745,-118.5383,18600 COLLINS ST,
201106067,43,M,A,34.1179,-118.293,2700 N VERMONT AV,
200100552,71,M,W,34.0578,-118.2371,ALAMEDA,LOS ANGELES
200815333,50,F,W,34.0701,-118.4679,100 S ACARI DR,
200100556,19,F,B,34.0542,-118.2566,300 S FIGUEROA ST,
200100559,51,M,W,34.0583,-118.2378,700 N MAIN ST,
210816993,27,M,W,34.0507,-118.3762,8500 CASHIO ST,
201111990,33,F,H,34.1186,-118.245,3200 W AVENUE 32,
200117988,0,,,34.0615,-118.247,500 N FIGUEROA ST,
200100568,69,M,B,34.0428,-118.2461,6TH,SAN JULIAN
200100578,52,M,H,34.0456,-118.254,7TH ST,BROADWAY
200100583,38,F,H,34.0467,-118.247,200 WINSTON ST,
200100584,55,M,W,34.0487,-118.2588,700 S FLOWER ST,
221412410,0,,,33.9876,-118.4489,13600 MARINA POINT DR,
200100587,66,F,A,34.0431,-118.2536,8TH,SPRING
200218458,34,M,W,34.0708,-118.2798,2500 BEVERLY BL,
201225288,50,F,B,33.9698,-118.2833,500 W 77TH ST,
200104036,18,F,B,34.0563,-118.2374,800 N ALAMEDA ST,
200104038,57,M,B,34.0401,-118.2459,7TH,SAN PEDRO
200104039,55,M,H,34.0487,-118.2588,800 W 7TH ST,
200104041,23,M,A,34.032,-118.2657,HILL,WASHINGTON
200104043,55,M,H,34.0561,-118.2415,ALISO,SPRING
200321450,54,F,W,34.0261,-118.3384,3000 WELLINGTON RD,
200104047,0,X,X,34.0488,-118.2518,500 S HILL ST,
200104048,0,X,X,34.0488,-118.2518,500 S HILL ST,
200104051,22,F,A,34.0487,-118.2627,800 FRANCISCO ST,
200104054,28,M,B,34.0495,-118.2458,WALL,5TH ST
200812213,42,F,W,34.0346,-118.3857,2800 S BEDFORD ST,
200104057,43,M,B,34.0424,-118.2493,7TH,LOS ANGELES
200104058,46,M,H,34.0485,-118.2447,LOS ANGELES ST,2ND ST
200104060,56,F,O,34.0467,-118.252,600 S SPRING ST,
200104063,55,F,O,34.0462,-118.2585,600 W 9TH ST,
200104065,55,M,H,34.0639,-118.2306,300 E ANN ST,
200104066,0,X,X,34.0444,-118.2593,9TH ST,GRAND AV
200104069,0,X,X,34.0623,-118.2383,800 N BROADWAY,
200104073,0,,,34.0488,-118.25,400 S SPRING ST,
200104075,67,M,B,34.0421,-118.2469,400 E 7TH ST,
200104076,57,M,B,34.0481,-118.2507,300 W 5TH ST,
200104077,37,F,H,34.0317,-118.2641,1800 S MAIN ST,
200104078,0,X,X,34.0473,-118.2566,600 W 7TH ST,
200104082,60,M,O,34.0449,-118.2528,7TH,SPRING
200104090,0,M,H,34.048,-118.2577,700 W 7TH ST,
200104092,51,M,O,34.0635,-118.2426,700 ALPINE ST,
200918185,52,F,W,34.1837,-118.4465,6200 SYLMAR AV,
200104098,61,M,W,34.0467,-118.2485,100 E 5TH ST,
200104101,38,M,B,34.0569,-118.254,100 S FIGUEROA ST,
200104118,36,F,B,34.0445,-118.2367,800 E 4TH PL,
200104120,59,M,H,34.0395,-118.2405,1200 E 7TH ST,
200104126,32,M,H,34.0487,-118.2588,700 S FLOWER ST,
200104127,44,F,B,34.048,-118.2438,300 E 3RD ST,
200104129,60,F,W,34.0522,-118.2434,1ST,MAIN
210121427,24,F,W,34.0607,-118.2494,900 W TEMPLE ST,
200104132,31,M,W,34.0402,-118.2633,1200 S GRAND AV,
200104135,30,M,W,34.053,-118.2513,300 S GRAND AV,
200104136,50,M,B,34.039,-118.24,600 S CENTRAL AV,
201815332,50,F,B,33.9425,-118.2781,10300 S BROADWAY,
200104138,40,M,H,34.0586,-118.2402,600 N BROADWAY,
200104139,34,M,O,34.0487,-118.2588,800 W 7TH ST,
200104140,34,F,B,34.0395,-118.2656,1300 S HOPE ST,
200104141,45,M,O,34.0487,-118.2588,700 S FLOWER ST,
200104150,62,M,B,34.0377,-118.2425,7TH ST,KOHLER
200516527,0,,,33.8129,-118.3071,23400 PRESIDENT AV,
200609101,0,,,34.1017,-118.3136,5700 HOLLYWOOD BL,
200104187,20,F,H,34.048,-118.2577,700 W 7TH ST,
211422362,31,F,B,34.0081,-118.4512,13100 LAKE ST,
200104192,0,X,X,34.0522,-118.2434,100 W 1ST ST,
211304982,15,F,H,33.9842,-118.2789,300 W 61ST ST,
200104201,51,M,H,34.053,-118.2513,3RD,GRAND
200104204,23,M,B,34.0446,-118.249,6TH,MAIN
200104205,29,M,B,34.0515,-118.2424,1ST,LOS ANGELES
200104208,58,M,B,34.0363,-118.2677,1600 S HOPE ST,
200104209,24,M,H,34.0491,-118.2558,600 W 7TH ST,
200104221,51,F,B,34.0421,-118.2469,600 S SAN PEDRO ST,
200104222,41,F,B,34.051,-118.2445,100 W 2ND ST,
